Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_base_link,-0.00919186739048139,0.00163062531988072,0.0720426952646519,0,0,0,0.111249692927857,0.000164604101612997,-1.50582141569408E-06,-8.96458503286978E-06,9.65781690920623E-05,-7.10188725625406E-06,9.23262702059448E-05,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_base_link.STL,,手掌-左手-1/400左手2026.1.7-1;手掌-左手-1/后掌7.30（1）13版本镶铜螺母左手-1;手掌-左手-1/法兰-1,base坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thumb_link_1,-4.45425113837147E-06,2.73197841531986E-05,0.0126698081457872,0,0,0,0.00215958911797451,5.45112693859253E-08,2.62798628386992E-13,2.19348198271042E-11,7.87842814604933E-08,3.31811475378136E-10,1.1105701417182E-07,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_thumb_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_thumb_link_1.STL,,手掌-左手-1/大拇指自传侧摆固定件钣金版本-1,thumb自转坐标系,thumb自转基准轴,left_thumb_joint_1,revolute,-0.012686,-0.032394,0.06846,-1.5708,-1.5703,-1.5708,left_base_link,0,0,1,2,2,-0.7,0.7,,,,,,,,
left_thumb_link_2,0.01,1.38777878078145E-17,3.46944695195361E-18,0,0,0,0.00190392221156499,9.46984074878355E-08,-1.64468505724265E-22,5.45127173790682E-23,5.30420172233007E-08,2.33695310006293E-22,5.30420172233007E-08,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_thumb_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_thumb_link_2.STL,,大拇指-1/大拇指侧摆和指根弯曲链接件大-1,thumb-mcp-roll坐标系,thumb-mcp-roll基准轴,left_thumb_joint_2,revolute,0,0,0.02255,3.1416,-1.5708,0,left_thumb_link_1,0,0,1,2,2,-1,1.5,,,,,,,,
left_thumb_link_3,0.0194250949317203,-0.00575056850276964,1.15613549579036E-06,0,0,0,0.003476757445609,2.821152206224E-07,1.33214778776857E-08,-6.40763155520757E-11,6.68708023955977E-07,5.29511479873471E-11,5.05040324243349E-07,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_thumb_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_thumb_link_3.STL,,大拇指-1/大拇指指根肚-1;大拇指-1/大拇指指根背-1,thumb-mcp坐标系,thumb-mcp基准轴,left_thumb_joint_3,revolute,0.02,0,0,1.5708,0,0,left_thumb_link_2,0,0,1,2,2,0,1.5,,,,,,,,
left_thumb_link_4,0.020352767593123,-0.00513863221873198,-5.06281622906363E-07,0,0,0,0.00332864524929204,1.6992728097793E-07,6.58474722824993E-09,-1.49235686304942E-11,6.88956967521992E-07,2.42491938545022E-11,6.08520223543278E-07,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_thumb_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_thumb_link_4.STL,,大拇指-1/大拇指指尖肚-1;大拇指-1/大拇指指尖背-1,thumb-dip坐标系,thumb-dip基准轴,left_thumb_joint_4,revolute,0.0437,0,0,0,0,0,left_thumb_link_3,0,0,1,2,2,0,1.5,,,,,,,,
left_index_link_1,-4.85722573273506E-17,-6.93889390390723E-18,-0.00398398682166268,0,0,0,0.000282122826671012,8.77440679231288E-10,7.34488596945162E-26,5.71725899653021E-24,8.77440679231288E-10,1.37454556663857E-26,4.17464224042478E-10,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_index_link_1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_index_link_1.STL,,四指-1/元杯内六角M2.5X4带螺纹胶-1,index-mcp-roll坐标系,index-mcp-roll基准轴,left_index_joint_1,revolute,-0.0014859,-0.035855,0.13061,-1.5708,-1.5703,-1.5708,left_base_link,0,0,1,2,2,-0.7,0.34,,,,,,,,
left_index_link_2,0.0209410264860948,-0.000898698179335078,4.14835501227895E-07,0,0,0,0.00316302771885425,2.30919426586616E-07,4.99730124795765E-09,-1.97996133195412E-11,6.1811577333344E-07,6.53749892698169E-12,4.98047054758289E-07,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_index_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_index_link_2.STL,,四指-1/指根指肚7.28可动-1;四指-1/指根指背7.28step-1,index-mcp坐标系,index-mcp基准轴,left_index_joint_2,revolute,0.0105,0,0,1.5708,0,0,left_index_link_1,0,0,1,2,2,0,1.5,,,,,,,,
left_index_link_3,0.0107721571396885,-0.00317608053119267,-4.12749758746389E-08,0,0,0,0.00243281058533877,1.35089165012305E-07,-7.93157993116991E-09,3.56133686951363E-13,2.28255754534515E-07,-7.66609013191889E-13,1.71293926110153E-07,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_index_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_index_link_3.STL,,四指-1/指中肚-1;四指-1/指中背2025.12.25-1,index-dip坐标系,index-dip基准轴,left_index_joint_3,revolute,0.0489,0.00312,0,0,0,0,left_index_link_2,0,0,1,2,2,0,1.5,,,,,,,,
left_index_link_4,0.00934458303737801,-0.00489105678300095,-2.23737680528358E-07,0,0,0,0.00276527786017332,1.1903104144304E-07,9.55675857418301E-09,-1.3318792507988E-12,3.10610144953239E-07,1.72491645232145E-12,2.54740669246727E-07,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_index_link_4.STL,0.729411764705882,0.552941176470588,0.145098039215686,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_index_link_4.STL,,四指-1/指尖肚可动-1;四指-1/指尖背-1,index-pip坐标系,index-pip基准轴,left_index_joint_4,revolute,0.03,0,0,0,0,0,left_index_link_3,0,0,1,2,2,0,1.5,,,,,,,,
left_middle_link_1,-6.93889390390723E-18,2.51534904016637E-17,-0.00398398682166312,0,0,0,0.000282122826671012,8.77440679231288E-10,6.73630533642295E-26,3.53769455917699E-26,8.77440679231288E-10,6.34825328411397E-27,4.17464224042478E-10,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_middle_link_1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_middle_link_1.STL,,四指-2/元杯内六角M2.5X4带螺纹胶-1,middle-mcp-roll坐标系,middle-mcp-roll基准轴,left_middle_joint_1,revolute,-0.0014859,-0.011303,0.1346,-1.5708,-1.5703,-1.5708,left_base_link,0,0,1,2,2,-0.523,0.523,,,,,,,,
left_middle_link_2,0.0209410264860953,-0.000898698179337076,4.38904648095324E-07,0,0,0,0.00316302771885448,2.30919426586709E-07,4.99730124802201E-09,-1.97996133516288E-11,6.18115773333591E-07,6.53749893428317E-12,4.98047054758516E-07,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_middle_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_left/meshes/left_middle_link_2.STL,,四指-2/指根指肚7.28可动-1;四指-2/指根指背7.28step-1,middle-mcp坐标系,middle-mcp基准轴,left_middle_joint_2,revolute,0.0105,0,0,1.5708,0,0,left_middle_link_1,0,0,1,2,2,0,1.5,,,,,,,,
