Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_base_link,-0.012736,0.0021055,0.089307,0,0,0,0.25552,0.0001872,-6.513E-07,9.4711E-06,0.00012236,-3.9892E-06,9.0958E-05,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_base_link.STL,,前掌7.30（4）-1;后掌7.30（1）13版本-1;大拇指与法兰主板-1;单角接触球轴承两对称座-1;13直径关节模组-5;大拇指自转机械限位挡板-1;13直径关节模组-4;食指中指固定板-1;13直径关节模组-2;13直径关节模组-3;小指无名指固定板-1;13直径关节模组-1;法兰-1,base坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_thumb_link_1,4.59873452525114E-06,0.0117078315613512,0.0170967629151401,0,0,0,0.0293793580935524,4.00562108009513E-06,-2.93889059378623E-09,1.03553834010451E-10,6.87898115790425E-07,2.69677794895801E-07,4.01136223055599E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_thumb_link_1.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_thumb_link_1.STL,,角接触球轴承[S70000][S719／5]-1;定制支撑柱M4X6-1;大拇指自传侧摆的固定件-1;13直径关节模组-14;w_617_2-8/w_617_2_01-1;内六角螺栓（盖螺栓）_SBCB2-5_内六角螺栓（盖螺栓）-11;w_617_2-6/w_617_2_01-1;内六角螺栓（盖螺栓）_SBCB2-5_内六角螺栓（盖螺栓）-10,thumb自转坐标系,thumb自转轴,right_thumb_joint_1,revolute,-0.012868,0.032392,0.068452,-1.5708,-1.5705,-1.5708,right_base_link,0,0,1,0,0,-0.6981,0.6981,,,,,,,,
right_thumb_link_2,0.00999538873035311,-3.32108297113054E-09,8.40028750509238E-05,0,0,0,0.004365126948583,1.391689143871E-07,-3.16207160311523E-14,1.26535870713809E-08,1.464235120451E-07,5.36164065036423E-14,1.22705538688514E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_thumb_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_thumb_link_2.STL,,大拇指侧摆和指根弯曲链接件大-1;大拇指侧摆和指根弯曲链接件小对边-1;大拇指侧摆和指根弯曲链接件小-2;大拇指侧摆和指根弯曲链接件小-1,thumb_mcp_roll坐标系,thumb_mcp_toll轴,right_thumb_joint_2,revolute,0,0,0.02355,0,-1.5708,0,right_thumb_link_1,0,0,-1,0,0,-1.0472,1.5708,,,,,,,,
right_thumb_link_3,0.0155316673642969,-0.00474995778430732,5.38957684267233E-06,0,0,0,0.0306111200991876,9.46710608720015E-07,7.3145433993554E-09,-3.29722497362051E-09,5.73479023952751E-06,7.49738467941284E-11,5.74546204556899E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_thumb_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_thumb_link_3.STL,,13直径关节模组-15;大拇指指根背-1;大拇指指根肚-1;大拇指指根指尖连接件左-1;大拇指指根指尖连接件右-1,thumb_mcp坐标系,thumb_mcp轴,right_thumb_joint_3,revolute,0.02,0,0,-1.5708,0,0,right_thumb_link_2,0,0,1,0,0,0,1.5708,,,,,,,,
right_thumb_link_4,0.0158264161448218,-0.00419485306612965,4.87986416741748E-06,0,0,0,0.0275584560502729,7.76986650680031E-07,2.29906680509702E-07,-2.95103684689898E-09,4.74780257846177E-06,1.02370599852203E-10,4.73109201334053E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_thumb_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_thumb_link_4.STL,,13直径关节模组-16;大拇指指尖肚-1;大拇指指尖背-1,thumb_dip坐标系,thumb_dip轴,right_thumb_joint_4,revolute,0.0465,0,0,0,0,0,right_thumb_link_3,0,0,1,0,0,0,1.5708,,,,,,,,
right_index_link_1,0.000743908629022523,-5.55341323325853E-06,0.00357430253049612,0,0,0,0.0288509871302188,7.94394443809045E-07,-2.85303028744699E-09,2.01395106276346E-07,4.10768682102316E-06,1.95900656914318E-10,4.06857220729577E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_index_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_index_link_1.STL,,13直径关节模组-12;侧摆固定件变窄版13版本-4,index_mcp_roll坐标系,index_mcp_roll轴,right_index_joint_1,revolute,-0.0016678,0.035869,0.1306,-1.5708,-1.5705,-1.5708,right_base_link,0,0,1,0,0,-0.6981,0.3491,,,,,,,,
right_index_link_2,0.0313933776378512,-0.00152877020642319,-4.42497851162182E-06,0,0,0,0.0304803820111362,8.57196188234774E-07,-2.598512188786E-07,-2.9467844606595E-09,4.53980225696294E-06,-9.72252015233659E-11,4.54507240297602E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_index_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_index_link_2.STL,,指根弯曲固定件左1-4;指根弯曲固定件右1-4;指根指背7.28step-4;指根指肚7.28可动-4;13直径关节模组-13;电机固定环13版本右-4;电机固定环13版本左-4,index_mcp坐标系,index_mcp轴,right_index_joint_2,revolute,0.014,0,0,1.5708,0,0,right_index_link_1,0,0,1,0,0,0,1.5708,,,,,,,,
right_index_link_3,0.0121799388549619,-0.00381320078798462,-0.0010283975785302,0,0,0,0.00393370093981394,1.55586199429442E-07,1.07858851345973E-09,-1.3028046307468E-08,3.36523132857888E-07,-4.65730621049171E-09,2.96577795208698E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_index_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_index_link_3.STL,,指中肚7.25（5）-4;指中摆动固定右1-4;指尖轴固定1-4;指中背可能非破面-4;紧配销-4,index_dip坐标系,index_dip轴,right_index_joint_3,revolute,0.0489,0.00312,0,0,0,0,right_index_link_2,0,0,1,0,0,0,1.5708,,,,,,,,
right_index_link_4,0.0093271688625714,-0.00406005222330917,7.09260613723853E-05,0,0,0,0.00496625808965121,1.25582530969305E-07,-1.77670214413739E-08,6.25902922683941E-09,4.48881221818645E-07,1.93572064653107E-09,3.97313696484042E-07,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_index_link_4.STL,0.729411764705882,0.552941176470588,0.145098039215686,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_index_link_4.STL,,指尖肚可动-4;指尖1-4;指尖背-4,index_pip坐标系,index_pip轴,right_index_joint_4,revolute,0.03,0,0,0,0,0,right_index_link_3,0,0,1,0,0,0,1.5708,,,,,,,,
right_middle_link_1,0.000743895525769034,-7.09562966077701E-06,0.0035743025137824,0,0,0,0.0288509871628647,7.94396859663244E-07,4.01598027413045E-09,2.01395085021884E-07,4.10768441755801E-06,-2.21622146630415E-10,4.06857220652262E-06,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_middle_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://gaiahand20_right/meshes/right_middle_link_1.STL,,13直径关节模组-11;侧摆固定件变窄版13版本-3,middle_mcp_roll坐标系,middle_mcp_roll轴,right_middle_joint_1,revolute,-0.0016678,0.011319,0.13459,-1.5708,-1.5705,-1.5708,right_base_link,0,0,1,0,0,-0.5236,0.5236,,,,,,,,
