Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_base_link,-0.0284477492390247,0.000542790881224919,0.076706739748753,0,0,0,0.173722811353607,0.000318190673792662,-1.91565322855582E-07,1.74042617609063E-05,0.000212901712165703,7.13837155170364E-07,0.000130954384314833,0,0,0,0,0,0,package://gaiahand_left/meshes/left_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_base_link.STL,,装配体8-1;零件59_连接法兰装配-1;JA10106-25Q1脱敏-1;JA10106-25Q1脱敏-4;JA10106-25Q1脱敏-7;JA10106-25Q1脱敏-10;JA10106-25Q1脱敏-13;前掌7.11-1,base-base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thumb_link_1,0.00247402344171999,0.000249459798458924,0.00393402043351931,0,0,0,0.00397641751207284,9.52539334417355E-08,-5.13338778559484E-09,-7.42287401161244E-09,1.0516919539407E-07,-5.02436651239461E-09,9.48032374107921E-08,0,0,0,0,0,0,package://gaiahand_left/meshes/left_thumb_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_thumb_link_1.STL,,侧摆固定件-5;JA10106-25Q1脱敏-14,thumb-mcp-roll,left-thumb-mcp-rolllink,left_thumb_joint_1,revolute,0.011787,-0.033111,0.08849,1.4951E-05,-0.0036834,0,left_base_link,0,0,1,0,0,-1.05,0.349,,,,,,,,
left_thumb_link_2,0.0265067811213511,-0.00399585693692422,0.000138895991577369,0,0,0,0.00875851577491426,4.40292995417802E-07,-4.83371504097576E-08,5.01880663603282E-08,1.04274509553691E-06,2.17943184616637E-09,1.27400277195124E-06,0,0,0,0,0,0,package://gaiahand_left/meshes/left_thumb_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_thumb_link_2.STL,,urdf指肚右-5;urdf指肚左-5;JA10106-25Q1脱敏-15,thumb-mcp,left-thumb-mcplink,left_thumb_joint_2,revolute,0.013,0,0,1.5708,0,0,left_thumb_link_1,0,0,1,0,0,0,1.05,,,,,,,,
left_thumb_link_3,0.0192830777791346,-0.00198397475349806,-0.000167205014019504,0,0,0,0.00409358650492291,1.96807204522082E-07,3.86407695726891E-08,-2.649643192699E-09,6.67069325890553E-07,-1.83415949975503E-09,8.03398335641798E-07,0,0,0,0,0,0,package://gaiahand_left/meshes/left_thumb_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_thumb_link_3.STL,,关节1左（2）-5;关节1右-5,thumb-dip,left-thumb-diplink,left_thumb_joint_3,revolute,0.047603,0,0,0,0,0,left_thumb_link_2,0,0,1,0,0,0,1.57,,,,,,,,
left_index_link_1,0.00247402364993433,0.000249460126856879,0.00393402045604851,0,0,0,0.00397641756999917,9.5253936720187E-08,-5.13338929494493E-09,-7.42287485418567E-09,1.05169196970933E-07,-5.0243665844397E-09,9.4803240793605E-08,0,0,0,0,0,0,package://gaiahand_left/meshes/left_index_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_index_link_1.STL,,侧摆固定件-1;JA10106-25Q1脱敏-2,index-mcp-roll,left-index-mcp-rolllink,left_index_joint_1,revolute,0.0025677,-0.027928,0.13801,-3.1416,-1.5671,0,left_base_link,0,0,1,0,0,-0.262,0.262,,,,,,,,
left_index_link_2,0.0265067812458975,-0.00399585697843308,0.000138896177086574,0,0,0,0.00875851587279157,4.40293000445529E-07,-4.83371510161528E-08,5.01880650413538E-08,1.04274509841957E-06,2.17943282693837E-09,1.27400277632651E-06,0,0,0,0,0,0,package://gaiahand_left/meshes/left_index_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_index_link_2.STL,,urdf指肚左-1;urdf指肚右-1;JA10106-25Q1脱敏-3,index-mcp,left-index-mcplink,left_index_joint_2,revolute,0.013,0,0,1.5708,0,0,left_index_link_1,0,0,1,0,0,-0.349,1.57,,,,,,,,
left_index_link_3,0.0192830994134968,-0.00198376763428931,-0.000167205801145938,0,0,0,0.004093586065221,1.96806357873805E-07,3.86357010726856E-08,-2.64962689365868E-09,6.67070158147784E-07,-1.83418257848878E-09,8.03398326627335E-07,0,0,0,0,0,0,package://gaiahand_left/meshes/left_index_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_index_link_3.STL,,关节1右-1;关节1左（2）-1,index-dip,left-index-diplink,left_index_joint_3,revolute,0.047603,0,0,0,0,0,left_index_link_2,0,0,1,0,0,0,1.57,,,,,,,,
left_middle_link_1,0.00247402364993506,0.000249460126853958,0.00393402045605029,0,0,0,0.00397641756999916,9.52539367201855E-08,-5.13338929494586E-09,-7.42287485418621E-09,1.05169196970934E-07,-5.02436658443915E-09,9.48032407936072E-08,0,0,0,0,0,0,package://gaiahand_left/meshes/left_middle_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_middle_link_1.STL,,侧摆固定件-2;JA10106-25Q1脱敏-5,middle-mcp-roll,left-middle-mcp-rolllink,left_middle_joint_1,revolute,0.0025677,-0.0057234,0.14197,-3.1416,-1.5671,0,left_base_link,0,0,1,0,0,-0.401,0.314,,,,,,,,
left_middle_link_2,0.026506781289745,-0.00399585694636873,0.000138896146654036,0,0,0,0.00875851582996083,4.40292998690411E-07,-4.83371496718386E-08,5.01880648745607E-08,1.04274509839018E-06,2.17943192946917E-09,1.27400277291926E-06,0,0,0,0,0,0,package://gaiahand_left/meshes/left_middle_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_middle_link_2.STL,,urdf指肚左-2;urdf指肚右-2;JA10106-25Q1脱敏-6,middle-mcp,left-middle-mcplink,left_middle_joint_2,revolute,0.013,0,0,1.5708,0,0,left_middle_link_1,0,0,1,0,0,-0.349,1.57,,,,,,,,
left_middle_link_3,0.0192830991538157,-0.0019837671038605,-0.00016720500504246,0,0,0,0.00409358650689472,1.9680637230401E-07,3.86357057253407E-08,-2.64962339335825E-09,6.67070158814771E-07,-1.8341880442882E-09,8.03398336401037E-07,0,0,0,0,0,0,package://gaiahand_left/meshes/left_middle_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_left/meshes/left_middle_link_3.STL,,关节1右-2;关节1左（2）-2,middle-dip,left-middle-diplink,left_middle_joint_3,revolute,0.047603,0,0,0,0,0,left_middle_link_2,0,0,1,0,0,0,1.57,,,,,,,,
