Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_base_link,-0.00185989356660565,-0.000537436022641108,0.0771398073517335,0,0,0,0.176615740242639,0.000318897459811424,1.18563908003359E-06,1.74413673208486E-05,0.000213533105491172,-7.10985660585748E-07,0.000131077664471994,0,0,0,0,0,0,package://gaiahand_right/meshes/right_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_base_link.STL,,装配体8-1;零件59_连接法兰装配-1;内六角螺栓（盖螺栓）_CB2-8_内六角螺栓（盖螺栓）-1;内六角螺栓（盖螺栓）_CB2-8_内六角螺栓（盖螺栓）-4;内六角螺栓（盖螺栓）_CB2-8_内六角螺栓（盖螺栓）-2;内六角螺栓（盖螺栓）_CB2-8_内六角螺栓（盖螺栓）-3;内六角螺栓（盖螺栓）_CB2-8_内六角螺栓（盖螺栓）-6;内六角螺栓（盖螺栓）_CB2-8_内六角螺栓（盖螺栓）-5;hexagon socket head cap screws gb-1;hexagon socket head cap screws gb-2;hexagon socket head cap screws gb-3;hexagon socket head cap screws gb-4;JA10106-25Q1脱敏-1;JA10106-25Q1脱敏-6;JA10106-25Q1脱敏-9;JA10106-25Q1脱敏-13;JA10106-25Q1脱敏-16;前掌7.11右-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_little_link_1,0.00286646185564227,-0.000623795611733695,0.00346766902664308,0,0,0,0.00468006492141594,9.78399593792645E-08,5.99764491504564E-09,-7.42613971107062E-09,1.07166327975986E-07,3.13900915172519E-09,9.64980837744637E-08,0,0,0,0,0,0,package://gaiahand_right/meshes/right_little_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_little_link_1.STL,,侧摆固定件-1;JA10106-25Q1脱敏-2;内六角螺栓（盖螺栓）_CB2.5-4_内六角螺栓（盖螺栓）-27;hexagon socket head cap screws gb-27;hexagon socket head cap screws gb-28,pinky_mcp_roll,pinky_mcp_roll_link,right_little_joint_1,revolute,0.0025493,-0.038291,0.12931,3.1416,-1.5671,0,right_base_link,0,0,1,0,0,-0.105,0.349,,,,,,,,
right_little_link_2,0.0232980270642981,-0.00400365397726676,-0.000361265932743354,0,0,0,0.0101713789335349,4.47425030633832E-07,-4.83324338982525E-08,-4.93109495927465E-08,1.04986324393277E-06,-3.00355990007606E-10,1.27670532577561E-06,0,0,0,0,0,0,package://gaiahand_right/meshes/right_little_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_little_link_2.STL,,urdf指肚右-1;urdf指肚左-1;JA10106-25Q1脱敏-3;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-1;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-2;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-4;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-3;内六角螺栓（盖螺栓）_CB2.5-4_内六角螺栓（盖螺栓）-1;内六角螺栓（盖螺栓）_CB2.5-6_内六角螺栓（盖螺栓）-1;内六角螺栓（盖螺栓）_CB2.5-4_内六角螺栓（盖螺栓）-2,pinky_mcp,pinky_mcp_link,right_little_joint_2,revolute,0.013,0,0,1.5708,0,0,right_little_link_1,0,0,1,0,0,-0.349,1.57,,,,,,,,
right_little_link_3,0.0198927114211386,-0.00171143265962148,-0.000375073809155461,0,0,0,0.00459922681816455,1.9967048331727E-07,3.48025685027482E-08,2.65053232911446E-09,6.70851343720506E-07,1.82964143116552E-09,8.04036725384627E-07,0,0,0,0,0,0,package://gaiahand_right/meshes/right_little_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_little_link_3.STL,,关节1右-1;关节1左（2）-1;内六角螺栓（盖螺栓）_CB2.5-6_内六角螺栓（盖螺栓）-5,pinky_dip,pinky_dip_link,right_little_joint_3,revolute,0.04757,0,0,0,0,0,right_little_link_2,0,0,1,0,0,0,1.57,,,,,,,,
right_ring_link_1,0.00315651054857599,-0.000686683562205203,0.00410765829314808,0,0,0,0.00425145455824402,9.6071330289659E-08,5.9976449150459E-09,-7.42286844213754E-09,1.05397686874001E-07,3.13900915172435E-09,9.56202902880327E-08,0,0,0,0,0,0,package://gaiahand_right/meshes/right_ring_link_1.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_ring_link_1.STL,,hexagon socket head cap screws gb-29;hexagon socket head cap screws gb-30;JA10106-25Q1脱敏-5;侧摆固定件-2,ring_mcp_roll,ring_mcp_roll_link,right_ring_joint_1,revolute,0.0025493,-0.016251,0.13545,3.1416,-1.5671,0,right_base_link,0,0,1,0,0,-0.175,0.349,,,,,,,,
right_ring_link_2,0.0242351175243999,-0.00365523767755715,-0.000111961017903336,0,0,0,0.00966560320080807,4.43951457512037E-07,-4.83324352097513E-08,-4.93109495927413E-08,1.04638967042619E-06,-3.00355990002656E-10,1.27576725885638E-06,0,0,0,0,0,0,package://gaiahand_right/meshes/right_ring_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_ring_link_2.STL,,urdf指肚左-2;urdf指肚右-2;内六角螺栓（盖螺栓）_CB2.5-4_内六角螺栓（盖螺栓）-3;内六角螺栓（盖螺栓）_CB2.5-4_内六角螺栓（盖螺栓）-4;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-7;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-8;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-5;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-6;JA10106-25Q1脱敏-4,ring_mcp,ring_mcp_link,right_ring_joint_2,revolute,0.013,0,0,1.5708,0,0,right_ring_link_1,0,0,1,0,0,-0.349,1.57,,,,,,,,
right_ring_link_3,0.0198988595411724,-0.00163837385647159,-0.000375074023196415,0,0,0,0.00459922623943401,1.99421236726505E-07,3.30714352781055E-08,2.64375757062012E-09,6.71100371079148E-07,1.83936224985215E-09,8.04036520916228E-07,0,0,0,0,0,0,package://gaiahand_right/meshes/right_ring_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_ring_link_3.STL,,关节1左（2）-6;关节1右-6;内六角螺栓（盖螺栓）_CB2.5-6_内六角螺栓（盖螺栓）-6,ring_dip,ring_dip_link,right_ring_joint_3,revolute,0.04757,0,0,0,0,-0.0036721,right_ring_link_2,0,0,1,0,0,0,1.57,,,,,,,,
right_middle_link_1,0.00315651054857463,-0.000686683562205012,0.00410765829315163,0,0,0,0.00425145455824377,9.60713302896533E-08,5.99764491504616E-09,-7.42286844213663E-09,1.05397686873998E-07,3.13900915172396E-09,9.56202902880309E-08,0,0,0,0,0,0,package://gaiahand_right/meshes/right_middle_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_middle_link_1.STL,,侧摆固定件-3;hexagon socket head cap screws gb-31;hexagon socket head cap screws gb-32;JA10106-25Q1脱敏-8,middle_mcp_roll,middle_mcp_roll_link,right_middle_joint_1,revolute,0.0025493,0.0057234,0.14197,3.1416,-1.5671,0,right_base_link,0,0,1,0,0,-0.314,0.401,,,,,,,,
right_middle_link_2,0.0242351176560123,-0.0036552376364487,-0.000111960953724104,0,0,0,0.00966560313822183,4.43951459025435E-07,-4.83324244612003E-08,-4.93109447108098E-08,1.04638964714872E-06,-3.00352976569079E-10,1.27576723719301E-06,0,0,0,0,0,0,package://gaiahand_right/meshes/right_middle_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_middle_link_2.STL,,urdf指肚右-3;urdf指肚左-3;内六角螺栓（盖螺栓）_CB2.5-4_内六角螺栓（盖螺栓）-5;内六角螺栓（盖螺栓）_CB2.5-4_内六角螺栓（盖螺栓）-6;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-11;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-12;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-9;内六角螺栓（盖螺栓）_SBCB1.6-4_内六角螺栓（盖螺栓）-10;JA10106-25Q1脱敏-7,middle_mcp,middle_mcp_link,right_middle_joint_2,revolute,0.013,0,0,1.5708,0,0,right_middle_link_1,0,0,1,0,0,-0.349,1.57,,,,,,,,
right_middle_link_3,0.0198927107274957,-0.00171143261691342,-0.000375073761687608,0,0,0,0.00459922663871857,1.9967048006043E-07,3.48025649038471E-08,2.65054409559613E-09,6.70851274175484E-07,1.82964149749915E-09,8.04036657726955E-07,0,0,0,0,0,0,package://gaiahand_right/meshes/right_middle_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gaiahand_right/meshes/right_middle_link_3.STL,,关节1右-3;关节1左（2）-3;内六角螺栓（盖螺栓）_CB2.5-6_内六角螺栓（盖螺栓）-7,middle_dip,middle_dip_link,right_middle_joint_3,revolute,0.04757,0,0,0,0,0,right_middle_link_2,0,0,1,0,0,0,1.57,,,,,,,,
