Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_base_link,-0.00320221142731838,0.000553806768446068,0.0121713871080833,0,0,0,0.120899459621096,0.000197910549961691,6.66398396505859E-07,4.48809340203708E-06,0.0001184728951003,-5.70854321482857E-06,8.60013989979304E-05,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_base_link.STL,,8-_X2_624B638C_X0_-_X2_524D76D6_X0_-1;8-_X2_624B638C_X0_-_X2_4E2D5FC35757_X0_-1;0002_asm-8/1-_X2_51738282_X0_-1;damuzhizhijia-1;8-_X2_624B638C_X0_-_X2_540E76D6_X0_-1;0002_asm-7/1-_X2_51738282_X0_-1;0002_asm-6/1-_X2_51738282_X0_-1;0002_asm-5/1-_X2_51738282_X0_-1;0002_asm-1/1-_X2_51738282_X0_-1,0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_pinky_pro_link,0.010709871679601,-4.86071209937597E-05,-0.00366362903339933,0,0,0,0.00174929289083876,3.2645204717717E-08,-2.41876464942232E-10,6.21729106379033E-09,8.9701207026963E-08,8.47027677498186E-11,9.37368534012431E-08,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_pinky_pro_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_pinky_pro_link.STL,,0002_asm-7/2-_X2_51738282_X0_-1,11,111,right_pinky_base_pro_joint,revolute,0.0029,-0.034942,0.047584,-1.5708,-1.5708,-1.5708,right_base_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
right_pinky_thi_link,0.0145714867865315,-0.00158339906522921,-0.00459769106028255,0,0,0,0.0065811994174643,2.95840380670221E-07,-2.95394006289752E-08,1.27466087974769E-10,6.97731191727368E-07,4.24462276371503E-09,8.94677197348951E-07,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_pinky_thi_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_pinky_thi_link.STL,,0002_asm-7/3-_X2_51738282_X0__ASM-1/3-_X2_51738282_X0_-1;0002_asm-7/3-_X2_51738282_X0__ASM-1/3-_X2_51738282_X0_-001-1;0002_asm-7/3-_X2_51738282_X0_-_X2_591658F3_X0__ASM-1/3-_X2_51738282_X0_-_X2_591658F3_X0__L-1;0002_asm-7/3-_X2_51738282_X0_-_X2_591658F3_X0__ASM-1/3-_X2_51738282_X0_-_X2_591658F3_X0__R-1,12,112,right_pinky_pro_thi_joint,revolute,0.0184,-0.00510001499800002,-0.005125,1.5707963267949,0,0,right_pinky_pro_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
right_pinky_sec_link,0.0133200183747686,-0.00202858680896405,-0.00462626447471658,0,0,0,0.00483271626458929,1.79757303518549E-07,-7.48848306649757E-08,5.70462786524658E-10,3.73149131735166E-07,2.7848033801497E-09,4.73523564815247E-07,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_pinky_sec_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_pinky_sec_link.STL,,0002_asm-7/4-_X2_51738282_X0__ASM-1/4-_X2_51738282_X0_-001-1;0002_asm-7/4-_X2_51738282_X0__ASM-1/4-_X2_51738282_X0_-1;0002_asm-7/4-_X2_51738282_X0_-_X2_591658F3_X0__ASM-1/4-_X2_51738282_X0_-_X2_591658F3_X0__R-1;0002_asm-7/4-_X2_51738282_X0_-_X2_591658F3_X0__ASM-1/4-_X2_51738282_X0_-_X2_591658F3_X0__L-1,13,113,right_pinky_thi_sec_joint,revolute,0.028485,0,5E-05,0,0,0,right_pinky_thi_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
right_pinky_dis_link,0.0113380762583466,-0.00145388915934439,-0.00453982797814704,0,0,0,0.00368344945669987,1.01439945261309E-07,-2.78119676846117E-08,-2.01601000132272E-09,2.55151804585134E-07,4.57516387028346E-10,2.92991202194714E-07,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_pinky_dis_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_pinky_dis_link.STL,,0002_asm-7/5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0_-1;0002_asm-7/5-_X2_63075C16_X0_-_X2_591658F3_X0_-ASM-1/5-_X2_63075C16_X0_-_X2_591658F3_X0__L-1;0002_asm-7/5-_X2_63075C16_X0_-_X2_591658F3_X0_-ASM-1/5-_X2_63075C16_X0_-_X2_591658F3_X0__R-1,14,114,right_pinky_sec_dis_joint,revolute,0.024001,0,5E-05,0,0,0,right_pinky_sec_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
right_ring_pro_link,0.010709871679601,-4.86071209937523E-05,-0.00366362903339934,0,0,0,0.00174929289083875,3.26452047177169E-08,-2.41876464942382E-10,6.21729106379038E-09,8.97012070269627E-08,8.47027677497904E-11,9.37368534012429E-08,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_ring_pro_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_ring_pro_link.STL,,0002_asm-6/2-_X2_51738282_X0_-1,21,221,right_ring_base_pro_joint,revolute,0.0029,-0.011942,0.057084,-1.5708,-1.5708,-1.5708,right_base_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
right_ring_thi_link,0.0145714867865314,-0.0015833990652292,-0.00459769106028266,0,0,0,0.00658119941746422,2.95840380670218E-07,-2.95394006289691E-08,1.27466087973173E-10,6.97731191727353E-07,4.24462276371469E-09,8.94677197348933E-07,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_ring_thi_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_ring_thi_link.STL,,0002_asm-6/3-_X2_51738282_X0__ASM-1/3-_X2_51738282_X0_-1;0002_asm-6/3-_X2_51738282_X0__ASM-1/3-_X2_51738282_X0_-001-1;0002_asm-6/3-_X2_51738282_X0_-_X2_591658F3_X0__ASM-1/3-_X2_51738282_X0_-_X2_591658F3_X0__R-1;0002_asm-6/3-_X2_51738282_X0_-_X2_591658F3_X0__ASM-1/3-_X2_51738282_X0_-_X2_591658F3_X0__L-1,22,222,right_ring_pro_thi_joint,revolute,0.0184,-0.0051,-0.005125,1.5708,0,0,right_ring_pro_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
right_ring_sec_link,0.0133200183747686,-0.00202858680896401,-0.00462626447471653,0,0,0,0.00483271626458934,1.79757303518549E-07,-7.48848306649737E-08,5.70462786524356E-10,3.73149131735164E-07,2.78480338014938E-09,4.73523564815245E-07,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_ring_sec_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_ring_sec_link.STL,,0002_asm-6/4-_X2_51738282_X0__ASM-1/4-_X2_51738282_X0_-001-1;0002_asm-6/4-_X2_51738282_X0__ASM-1/4-_X2_51738282_X0_-1;0002_asm-6/4-_X2_51738282_X0_-_X2_591658F3_X0__ASM-1/4-_X2_51738282_X0_-_X2_591658F3_X0__R-1;0002_asm-6/4-_X2_51738282_X0_-_X2_591658F3_X0__ASM-1/4-_X2_51738282_X0_-_X2_591658F3_X0__L-1,23,223,right_ring_thi_sec_joint,revolute,0.028485,0,5E-05,0,0,0,right_ring_thi_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
right_ring_dis_link,0.0113380736540969,-0.00145389220720867,-0.00453982800020045,0,0,0,0.00368345053634577,1.01439996101356E-07,-2.78119398408611E-08,-2.0159413095138E-09,2.55151708901899E-07,4.57567677554755E-10,2.92991104947871E-07,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_ring_dis_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_ring_dis_link.STL,,0002_asm-6/5-_X2_63075C16_X0_-_X2_591658F3_X0_-ASM-1/5-_X2_63075C16_X0_-_X2_591658F3_X0__L-1;0002_asm-6/5-_X2_63075C16_X0_-_X2_591658F3_X0_-ASM-1/5-_X2_63075C16_X0_-_X2_591658F3_X0__R-1;0002_asm-6/5-_X2_63075C16_X0_-_X2_89E689C94F20611F56687248_X0_-1,24,224,right_ring_sec_dis_joint,revolute,0.024001,0,5E-05,0,0,0,right_ring_sec_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
right_middle_pro_link,0.010709871679601,-4.86071209937419E-05,-0.00366362903339935,0,0,0,0.00174929289083876,3.2645204717717E-08,-2.41876464942122E-10,6.21729106379036E-09,8.97012070269628E-08,8.47027677498133E-11,9.3736853401243E-08,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_middle_pro_link.STL,1,1,1,1,0,0,0,0,0,0,package://pantheonhand_right/meshes/right_middle_pro_link.STL,,0002_asm-5/2-_X2_51738282_X0_-1,31,331,right_middle_base_pro_joint,revolute,0.0029,0.011058,0.062084,-1.5708,-1.5708,-1.5708,right_base_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
